t,total_mass,total_energy,total_conserved,live_cells
99,2466.0,2083.997314453125,4549.997314453125,2466
100,2466.0,2083.997314453125,4549.997314453125,2466
101,2466.0,2083.99755859375,4549.99755859375,2466
102,2466.0,2083.997314453125,4549.997314453125,2466
103,2466.0,2083.997314453125,4549.997314453125,2466
104,2466.0,2083.9970703125,4549.9970703125,2466
105,2466.0,2083.997314453125,4549.997314453125,2466
106,2466.0,2083.997314453125,4549.997314453125,2466
107,2466.0,2083.997314453125,4549.997314453125,2466
108,2466.0,2083.997314453125,4549.997314453125,2466
109,2466.0,2083.9970703125,4549.9970703125,2466
