t,mean_H2O,mean_CO2,mean_O2,mean_SUGAR,mean_ATP,mean_PROTEIN,mean_MITOGEN
73,0.983008,0.982619,0.982563,0.974968,1.948038,0.004265,0.034738
74,0.983008,0.982618,0.982564,0.974894,1.947794,0.004318,0.034759
75,0.983007,0.982618,0.982565,0.974819,1.947549,0.004375,0.034776
76,0.983007,0.982617,0.982565,0.974728,1.947303,0.004437,0.034806
77,0.983006,0.982617,0.982566,0.97464,1.947056,0.004499,0.034832
78,0.983006,0.982616,0.982566,0.974552,1.946807,0.004562,0.034858
79,0.983005,0.982615,0.982567,0.974466,1.946558,0.00462,0.034885
80,0.983004,0.982615,0.982567,0.974381,1.946307,0.004675,0.034915
81,0.983004,0.982614,0.982568,0.97431,1.946055,0.004726,0.034935
82,0.983003,0.982613,0.982569,0.974232,1.945809,0.004774,0.034966
83,0.983002,0.982612,0.98257,0.974156,1.945568,0.00483,0.034985
84,0.983001,0.982612,0.982571,0.974085,1.945327,0.004882,0.035005
85,0.983,0.982611,0.982571,0.974,1.945084,0.004938,0.035034
86,0.983,0.98261,0.982572,0.973916,1.944841,0.004999,0.035058
87,0.982999,0.982609,0.982573,0.973838,1.944596,0.005051,0.035082
88,0.982998,0.982608,0.982574,0.973765,1.944351,0.005108,0.035099
89,0.982997,0.982607,0.982575,0.973687,1.944105,0.005165,0.03512
90,0.982996,0.982606,0.982576,0.973609,1.943865,0.005219,0.035145
91,0.982995,0.982605,0.982577,0.973543,1.943624,0.005276,0.035154
92,0.982993,0.982604,0.982578,0.973463,1.943382,0.005338,0.035172
93,0.982992,0.982603,0.98258,0.973384,1.94314,0.0054,0.035189
94,0.982991,0.982601,0.982581,0.973308,1.942896,0.005463,0.035203
95,0.98299,0.9826,0.982582,0.973228,1.942652,0.005525,0.035221
96,0.982988,0.982599,0.982584,0.973147,1.942408,0.005588,0.035239
97,0.982987,0.982597,0.982585,0.973066,1.942162,0.005646,0.035261
98,0.982986,0.982596,0.982586,0.973002,1.941916,0.005701,0.035271
99,0.982984,0.982595,0.982588,0.972938,1.941676,0.005756,0.035281
100,0.982983,0.982593,0.982589,0.972868,1.941436,0.005811,0.035296
101,0.982981,0.982591,0.982591,0.972799,1.941201,0.005866,0.03531
102,0.982979,0.982589,0.982593,0.972724,1.940967,0.005926,0.035325
103,0.982977,0.982587,0.982595,0.972646,1.940731,0.005986,0.035345
104,0.982976,0.982586,0.982596,0.972579,1.940502,0.006041,0.035356
105,0.982975,0.982585,0.982597,0.972504,1.940272,0.006101,0.035371
106,0.982974,0.982584,0.982598,0.972441,1.940041,0.006157,0.035378
107,0.982972,0.982583,0.982599,0.972365,1.93981,0.006217,0.035394
108,0.982971,0.982582,0.982601,0.972306,1.939579,0.006274,0.035397
109,0.98297,0.98258,0.982602,0.972234,1.939347,0.006334,0.035409
110,0.982969,0.982579,0.982603,0.972175,1.939114,0.006395,0.035407
111,0.982968,0.982578,0.982604,0.972107,1.938881,0.006452,0.035419
112,0.982966,0.982577,0.982605,0.972052,1.938648,0.006508,0.035418
113,0.982964,0.982575,0.982608,0.971979,1.938421,0.006569,0.03543
114,0.982962,0.982573,0.98261,0.971915,1.938194,0.006631,0.035433
115,0.98296,0.98257,0.982612,0.97185,1.937973,0.006688,0.035441
116,0.982957,0.982567,0.982615,0.97179,1.937759,0.006749,0.03544
117,0.982954,0.982564,0.982618,0.971725,1.937545,0.006806,0.035448
118,0.982951,0.982561,0.982621,0.971669,1.937331,0.006868,0.035443
119,0.982948,0.982559,0.982624,0.971608,1.937116,0.00693,0.035443
120,0.982945,0.982556,0.982627,0.971556,1.9369,0.006992,0.035433
121,0.982942,0.982553,0.982629,0.971517,1.936685,0.00705,0.035414
122,0.98294,0.98255,0.982632,0.971483,1.936468,0.007103,0.035396
123,0.982937,0.982547,0.982635,0.971453,1.936252,0.007157,0.035373
124,0.982934,0.982544,0.982638,0.971422,1.936035,0.007206,0.035355
125,0.982931,0.982542,0.982641,0.971397,1.935818,0.007259,0.035327
126,0.982928,0.982539,0.982644,0.971362,1.935601,0.007313,0.035309
127,0.982926,0.982536,0.982646,0.971331,1.935384,0.007362,0.035291
128,0.982923,0.982533,0.982649,0.971296,1.935173,0.007416,0.035273
129,0.98292,0.98253,0.982652,0.971275,1.934962,0.007465,0.035245
130,0.982917,0.982527,0.982655,0.971244,1.934751,0.007519,0.035223
131,0.982914,0.982525,0.982658,0.971218,1.934539,0.007569,0.0352
132,0.982911,0.982522,0.98266,0.971196,1.934327,0.007618,0.035173
133,0.982909,0.982519,0.982663,0.971169,1.934115,0.007672,0.035146
134,0.982906,0.982516,0.982666,0.971143,1.933903,0.007727,0.035118
135,0.982903,0.982513,0.982669,0.971111,1.933691,0.007781,0.035096
136,0.9829,0.982511,0.982672,0.971084,1.933478,0.007835,0.035069
137,0.982897,0.982508,0.982675,0.971048,1.933265,0.007894,0.035046
138,0.982895,0.982505,0.982677,0.971021,1.933052,0.007949,0.035019
139,0.982892,0.982502,0.98268,0.970994,1.932838,0.007999,0.034997
140,0.982889,0.982499,0.982683,0.970962,1.932625,0.008053,0.034975
141,0.982886,0.982497,0.982686,0.97093,1.932411,0.008108,0.034953
142,0.982883,0.982494,0.982688,0.970907,1.932197,0.008154,0.034931
143,0.982881,0.982491,0.982691,0.970875,1.931982,0.008204,0.034913
144,0.982878,0.982488,0.982694,0.970842,1.931768,0.008259,0.034892
145,0.982875,0.982485,0.982697,0.97081,1.931553,0.008309,0.034874
146,0.982872,0.982483,0.9827,0.970782,1.931338,0.008364,0.034848
147,0.982869,0.98248,0.982702,0.970749,1.931123,0.008419,0.034826
148,0.982867,0.982477,0.982705,0.970721,1.930908,0.008474,0.034799
149,0.982864,0.982474,0.982708,0.970684,1.930692,0.008529,0.034782
150,0.982861,0.982472,0.982711,0.970665,1.930477,0.00857,0.03476
151,0.982858,0.982469,0.982714,0.970632,1.930261,0.008616,0.034747
152,0.982856,0.982466,0.982716,0.970599,1.930045,0.008667,0.03473
153,0.982852,0.982463,0.982719,0.970566,1.929836,0.008717,0.034713
154,0.98285,0.98246,0.982722,0.970542,1.929634,0.008763,0.034692
155,0.982847,0.982457,0.982725,0.970531,1.929432,0.008795,0.034671
156,0.982844,0.982455,0.982728,0.970516,1.929231,0.008837,0.034645
157,0.982842,0.982452,0.98273,0.970501,1.929028,0.008883,0.034615
158,0.982839,0.982449,0.982733,0.970495,1.928826,0.008915,0.034589
159,0.982836,0.982447,0.982736,0.970484,1.928631,0.008952,0.034563
160,0.982833,0.982444,0.982739,0.970478,1.928444,0.008984,0.034537
161,0.98283,0.98244,0.982742,0.970467,1.928256,0.009021,0.034512
162,0.982827,0.982437,0.982745,0.97047,1.928068,0.009045,0.034486
