t,mean_H2O,mean_CO2,mean_O2,mean_SUGAR,mean_ATP,mean_PROTEIN,mean_MITOGEN
766,0.983466,0.983077,0.982105,0.974437,1.875939,0.020163,0.019294
767,0.983468,0.983078,0.982104,0.974451,1.875893,0.020168,0.019275
768,0.983469,0.98308,0.982103,0.974466,1.875846,0.020172,0.019256
769,0.983471,0.983081,0.982101,0.97448,1.8758,0.020177,0.019237
770,0.983472,0.983082,0.9821,0.974495,1.875754,0.020181,0.019217
771,0.983474,0.983084,0.982098,0.974509,1.875707,0.020186,0.019198
772,0.983475,0.983085,0.982097,0.974524,1.875661,0.02019,0.019179
773,0.983476,0.983087,0.982095,0.974538,1.875615,0.020195,0.01916
774,0.983478,0.983088,0.982094,0.974552,1.875569,0.020199,0.019141
775,0.983479,0.98309,0.982093,0.974567,1.875522,0.020204,0.019122
776,0.983481,0.983091,0.982091,0.974581,1.875476,0.020208,0.019103
777,0.983482,0.983093,0.98209,0.974595,1.87543,0.020213,0.019083
778,0.983484,0.983094,0.982088,0.974609,1.875384,0.020217,0.019064
779,0.983485,0.983095,0.982087,0.974624,1.875337,0.020222,0.019045
780,0.983486,0.983097,0.982085,0.974643,1.875291,0.020222,0.019026
781,0.983488,0.983098,0.982084,0.974662,1.875245,0.020221,0.019007
782,0.983489,0.9831,0.982083,0.974681,1.875198,0.020221,0.018988
783,0.983491,0.983101,0.982081,0.9747,1.875152,0.020221,0.01897
784,0.983492,0.983103,0.98208,0.974719,1.875106,0.020221,0.018951
785,0.983494,0.983104,0.982078,0.974738,1.87506,0.02022,0.018932
786,0.983495,0.983105,0.982077,0.974757,1.875013,0.02022,0.018913
787,0.983496,0.983107,0.982075,0.974776,1.874967,0.02022,0.018894
788,0.983498,0.983108,0.982074,0.974795,1.874921,0.020219,0.018875
789,0.983499,0.98311,0.982073,0.974814,1.874874,0.020219,0.018856
790,0.983501,0.983111,0.982071,0.974832,1.874828,0.020219,0.018837
791,0.983502,0.983113,0.98207,0.974851,1.874782,0.020218,0.018819
792,0.983504,0.983114,0.982068,0.97487,1.874736,0.020218,0.0188
793,0.983505,0.983115,0.982067,0.974889,1.874689,0.020218,0.018781
794,0.983507,0.983117,0.982065,0.974908,1.874643,0.020218,0.018762
795,0.983508,0.983118,0.982064,0.974927,1.874597,0.020217,0.018744
796,0.983509,0.98312,0.982062,0.974945,1.874551,0.020217,0.018725
797,0.983511,0.983121,0.982061,0.974959,1.874504,0.020222,0.018706
798,0.983512,0.983123,0.98206,0.974978,1.874458,0.020221,0.018688
799,0.983514,0.983124,0.982058,0.974997,1.874412,0.020221,0.018669
800,0.983515,0.983126,0.982057,0.975015,1.874365,0.020221,0.01865
801,0.983517,0.983127,0.982055,0.975034,1.874319,0.02022,0.018632
802,0.983518,0.983128,0.982054,0.975043,1.874273,0.02023,0.018613
803,0.983519,0.98313,0.982052,0.975052,1.874227,0.020239,0.018594
804,0.983521,0.983131,0.982051,0.975061,1.87418,0.020248,0.018576
805,0.983522,0.983133,0.98205,0.975075,1.874134,0.020253,0.018557
806,0.983524,0.983134,0.982048,0.975089,1.874088,0.020257,0.018539
807,0.983525,0.983136,0.982047,0.975107,1.874041,0.020257,0.01852
808,0.983527,0.983137,0.982045,0.975121,1.873995,0.020261,0.018502
809,0.983528,0.983139,0.982044,0.97513,1.873949,0.020271,0.018483
810,0.98353,0.98314,0.982042,0.975143,1.873903,0.020275,0.018465
811,0.983531,0.983141,0.982041,0.975162,1.873856,0.020275,0.018447
812,0.983532,0.983143,0.982039,0.975175,1.87381,0.02028,0.018428
813,0.983534,0.983144,0.982038,0.975184,1.873764,0.020289,0.01841
814,0.983535,0.983146,0.982037,0.975198,1.873718,0.020294,0.018391
815,0.983537,0.983147,0.982035,0.975211,1.873671,0.020298,0.018373
816,0.983538,0.983149,0.982034,0.97522,1.873625,0.020307,0.018355
817,0.98354,0.98315,0.982032,0.975229,1.873579,0.020317,0.018336
818,0.983541,0.983152,0.982031,0.975237,1.873532,0.020326,0.018318
819,0.983543,0.983153,0.982029,0.975251,1.873486,0.020331,0.0183
820,0.983544,0.983154,0.982028,0.975264,1.87344,0.020335,0.018282
821,0.983545,0.983156,0.982026,0.975278,1.873394,0.02034,0.018263
822,0.983547,0.983157,0.982025,0.975291,1.873347,0.020344,0.018245
823,0.983548,0.983159,0.982024,0.975305,1.873301,0.020349,0.018227
824,0.98355,0.98316,0.982022,0.975313,1.873255,0.020358,0.018209
825,0.983551,0.983162,0.982021,0.975327,1.873209,0.020363,0.018191
826,0.983553,0.983163,0.982019,0.97534,1.873162,0.020367,0.018172
827,0.983554,0.983165,0.982018,0.975353,1.873116,0.020372,0.018154
828,0.983556,0.983166,0.982016,0.975372,1.87307,0.020372,0.018136
829,0.983557,0.983167,0.982015,0.97539,1.873023,0.020371,0.018118
830,0.983558,0.983169,0.982013,0.975403,1.872977,0.020376,0.0181
831,0.98356,0.98317,0.982012,0.975416,1.872931,0.020381,0.018082
832,0.983561,0.983172,0.982011,0.975434,1.872885,0.02038,0.018064
833,0.983563,0.983173,0.982009,0.975452,1.872838,0.02038,0.018046
834,0.983564,0.983175,0.982008,0.975471,1.872792,0.02038,0.018028
835,0.983566,0.983176,0.982006,0.975484,1.872746,0.020384,0.01801
836,0.983567,0.983178,0.982005,0.975497,1.872699,0.020389,0.017992
837,0.983569,0.983179,0.982003,0.97551,1.872653,0.020393,0.017974
838,0.98357,0.98318,0.982002,0.975523,1.872607,0.020398,0.017956
839,0.983572,0.983182,0.982,0.975536,1.872561,0.020402,0.017938
840,0.983573,0.983183,0.981999,0.975549,1.872514,0.020407,0.01792
841,0.983574,0.983185,0.981997,0.975563,1.872468,0.020411,0.017902
842,0.983576,0.983186,0.981996,0.975581,1.872422,0.020411,0.017884
843,0.983577,0.983188,0.981995,0.975599,1.872376,0.020411,0.017867
844,0.983579,0.983189,0.981993,0.975616,1.872329,0.02041,0.017849
845,0.98358,0.983191,0.981992,0.975634,1.872283,0.02041,0.017831
846,0.983582,0.983192,0.98199,0.975652,1.872237,0.02041,0.017813
847,0.983583,0.983194,0.981989,0.97567,1.87219,0.020409,0.017795
848,0.983585,0.983195,0.981987,0.975683,1.872144,0.020414,0.017778
849,0.983586,0.983196,0.981986,0.975696,1.872098,0.020418,0.01776
850,0.983587,0.983198,0.981984,0.975709,1.872052,0.020423,0.017742
851,0.983589,0.983199,0.981983,0.975722,1.872005,0.020422,0.017729
852,0.98359,0.983201,0.981981,0.975735,1.871959,0.020422,0.017717
853,0.983592,0.983202,0.98198,0.975753,1.871913,0.020422,0.017699
854,0.983593,0.983204,0.981979,0.975766,1.871867,0.020426,0.017681
855,0.983595,0.983205,0.981977,0.975783,1.87182,0.020426,0.017664
856,0.983596,0.983207,0.981976,0.975801,1.871774,0.020426,0.017646
857,0.983598,0.983208,0.981974,0.975819,1.871728,0.020425,0.017628
858,0.983599,0.98321,0.981973,0.975836,1.871681,0.020425,0.017611
859,0.983601,0.983211,0.981971,0.975854,1.871635,0.020425,0.017593
860,0.983602,0.983212,0.98197,0.975871,1.871589,0.020425,0.017576
861,0.983604,0.983214,0.981968,0.975889,1.871543,0.020424,0.017558
862,0.983605,0.983215,0.981967,0.975907,1.871496,0.020424,0.017541
863,0.983606,0.983217,0.981965,0.975924,1.87145,0.020424,0.017523
864,0.983608,0.983218,0.981964,0.975942,1.871404,0.020423,0.017506
865,0.983609,0.98322,0.981963,0.975959,1.871358,0.020423,0.017488
866,0.983611,0.983221,0.981961,0.975977,1.871311,0.020423,0.017471
867,0.983612,0.983223,0.98196,0.975994,1.871265,0.020422,0.017453
868,0.983614,0.983224,0.981958,0.976012,1.871219,0.020422,0.017436
869,0.983615,0.983226,0.981957,0.976029,1.871172,0.020422,0.017419
870,0.983617,0.983227,0.981955,0.976047,1.871126,0.020422,0.017401
871,0.983618,0.983228,0.981954,0.976064,1.87108,0.020421,0.017384
872,0.98362,0.98323,0.981952,0.976081,1.871034,0.020421,0.017366
873,0.983621,0.983231,0.981951,0.976094,1.870987,0.020421,0.017354
874,0.983622,0.983233,0.981949,0.976111,1.870941,0.02042,0.017337
875,0.983624,0.983234,0.981948,0.976124,1.870895,0.02042,0.017324
876,0.983625,0.983236,0.981946,0.976141,1.870848,0.02042,0.017307
877,0.983627,0.983237,0.981945,0.976153,1.870802,0.020419,0.017295
878,0.983628,0.983239,0.981944,0.976166,1.870756,0.020419,0.017282
879,0.98363,0.98324,0.981942,0.976183,1.87071,0.020419,0.017265
880,0.983631,0.983242,0.981941,0.976191,1.870663,0.020428,0.017248
881,0.983633,0.983243,0.981939,0.976203,1.870617,0.020433,0.01723
882,0.983634,0.983245,0.981938,0.976221,1.870571,0.020432,0.017213
883,0.983636,0.983246,0.981936,0.976238,1.870525,0.020432,0.017196
884,0.983637,0.983247,0.981935,0.976255,1.870478,0.020432,0.017179
885,0.983639,0.983249,0.981933,0.976272,1.870432,0.020431,0.017162
886,0.98364,0.98325,0.981932,0.976285,1.870386,0.020436,0.017145
887,0.983641,0.983252,0.98193,0.976297,1.870339,0.020441,0.017128
888,0.983643,0.983253,0.981929,0.976314,1.870293,0.02044,0.017111
889,0.983644,0.983255,0.981928,0.976331,1.870247,0.02044,0.017093
890,0.983646,0.983256,0.981926,0.976348,1.870201,0.02044,0.017076
891,0.983647,0.983258,0.981925,0.976365,1.870154,0.020439,0.017059
892,0.983649,0.983259,0.981923,0.976382,1.870108,0.020439,0.017042
893,0.98365,0.983261,0.981922,0.976399,1.870062,0.020439,0.017025
894,0.983652,0.983262,0.98192,0.976416,1.870016,0.020439,0.017008
895,0.983653,0.983264,0.981919,0.976434,1.869969,0.020438,0.016991
896,0.983655,0.983265,0.981917,0.976451,1.869923,0.020438,0.016974
897,0.983656,0.983266,0.981916,0.976467,1.869877,0.020438,0.016958
898,0.983658,0.983268,0.981914,0.976484,1.86983,0.020437,0.016941
899,0.983659,0.983269,0.981913,0.976501,1.869784,0.020437,0.016924
900,0.98366,0.983271,0.981911,0.976518,1.869738,0.020437,0.016907
901,0.983662,0.983272,0.98191,0.976535,1.869692,0.020436,0.01689
902,0.983663,0.983274,0.981909,0.976547,1.869645,0.020441,0.016873
903,0.983665,0.983275,0.981907,0.976564,1.869599,0.020441,0.016856
904,0.983666,0.983277,0.981906,0.976581,1.869553,0.02044,0.016839
905,0.983668,0.983278,0.981904,0.976598,1.869507,0.02044,0.016823
906,0.983669,0.98328,0.981903,0.976615,1.86946,0.02044,0.016806
907,0.983671,0.983281,0.981901,0.976632,1.869414,0.020439,0.016789
908,0.983672,0.983282,0.9819,0.976648,1.869368,0.020439,0.016772
909,0.983674,0.983284,0.981898,0.976665,1.869321,0.020439,0.016756
910,0.983675,0.983285,0.981897,0.976682,1.869275,0.020439,0.016739
911,0.983677,0.983287,0.981895,0.976699,1.869229,0.020438,0.016722
912,0.983678,0.983288,0.981894,0.976715,1.869183,0.020438,0.016706
913,0.983679,0.98329,0.981892,0.976732,1.869136,0.020438,0.016689
914,0.983681,0.983291,0.981891,0.976744,1.86909,0.020437,0.016677
915,0.983682,0.983293,0.98189,0.976761,1.869044,0.020437,0.01666
916,0.983684,0.983294,0.981888,0.976777,1.868997,0.020437,0.016644
917,0.983685,0.983296,0.981887,0.976794,1.868951,0.020437,0.016627
918,0.983687,0.983297,0.981885,0.976796,1.868905,0.020446,0.016616
919,0.983688,0.983299,0.981884,0.976808,1.868859,0.02045,0.016599
920,0.98369,0.9833,0.981882,0.97682,1.868812,0.02045,0.016587
921,0.983691,0.983301,0.981881,0.976836,1.868766,0.02045,0.016571
922,0.983693,0.983303,0.981879,0.976848,1.86872,0.020449,0.016559
923,0.983694,0.983304,0.981878,0.976855,1.868674,0.020454,0.016547
924,0.983695,0.983306,0.981876,0.976862,1.868627,0.020458,0.016536
925,0.983697,0.983307,0.981875,0.976869,1.868581,0.020463,0.016524
926,0.983698,0.983309,0.981874,0.976885,1.868535,0.020463,0.016508
927,0.9837,0.98331,0.981872,0.976897,1.868488,0.020462,0.016496
928,0.983701,0.983312,0.981871,0.976913,1.868442,0.020462,0.01648
929,0.983703,0.983313,0.981869,0.97693,1.868396,0.020462,0.016463
930,0.983704,0.983315,0.981868,0.976946,1.86835,0.020462,0.016447
931,0.983706,0.983316,0.981866,0.976963,1.868303,0.020461,0.01643
932,0.983707,0.983317,0.981865,0.976979,1.868257,0.020461,0.016414
933,0.983709,0.983319,0.981863,0.976996,1.868211,0.020461,0.016398
934,0.98371,0.98332,0.981862,0.977012,1.868165,0.02046,0.016381
935,0.983711,0.983322,0.98186,0.977029,1.868118,0.02046,0.016365
936,0.983713,0.983323,0.981859,0.977045,1.868072,0.02046,0.016349
937,0.983714,0.983324,0.981858,0.977057,1.868033,0.020464,0.016332
938,0.983715,0.983325,0.981857,0.977068,1.867995,0.020469,0.016316
939,0.983715,0.983326,0.981857,0.97708,1.867956,0.020474,0.016299
940,0.983716,0.983327,0.981856,0.977091,1.867918,0.020479,0.016283
941,0.983717,0.983327,0.981855,0.977103,1.867879,0.020483,0.016267
942,0.983718,0.983328,0.981854,0.977109,1.86784,0.020493,0.01625
943,0.983719,0.983329,0.981853,0.977116,1.867802,0.020502,0.016234
944,0.983719,0.98333,0.981852,0.977128,1.867763,0.020507,0.016218
945,0.98372,0.983331,0.981852,0.977139,1.867725,0.020512,0.016201
946,0.983721,0.983331,0.981851,0.977151,1.867686,0.020516,0.016185
947,0.983722,0.983332,0.98185,0.977162,1.867647,0.020521,0.016169
948,0.983723,0.983333,0.981849,0.977173,1.867609,0.020526,0.016152
949,0.983724,0.983334,0.981848,0.977185,1.86757,0.02053,0.016136
950,0.983724,0.983335,0.981847,0.977196,1.867532,0.020535,0.01612
951,0.983725,0.983336,0.981847,0.977208,1.867493,0.02054,0.016104
952,0.983726,0.983337,0.981846,0.977219,1.867455,0.020544,0.016088
953,0.983727,0.983337,0.981845,0.977225,1.867416,0.020554,0.016072
954,0.983728,0.983338,0.981844,0.977232,1.867377,0.020563,0.016055
955,0.983729,0.983339,0.981843,0.977243,1.867339,0.020568,0.016039
956,0.98373,0.98334,0.981842,0.977254,1.8673,0.020573,0.016023
957,0.983731,0.983341,0.981841,0.977266,1.867262,0.020578,0.016007
958,0.983731,0.983342,0.98184,0.977277,1.867223,0.020582,0.015991
959,0.983732,0.983343,0.98184,0.977288,1.867184,0.020587,0.015975
960,0.983733,0.983344,0.981839,0.977299,1.867146,0.020592,0.015959
961,0.983734,0.983345,0.981838,0.977311,1.867107,0.020596,0.015943
962,0.983735,0.983345,0.981837,0.977322,1.867069,0.020601,0.015927
963,0.983736,0.983346,0.981836,0.977333,1.86703,0.020606,0.015911
964,0.983737,0.983347,0.981835,0.977344,1.866992,0.02061,0.015895
965,0.983738,0.983348,0.981834,0.977355,1.866953,0.020615,0.015879
966,0.983739,0.983349,0.981833,0.977366,1.866914,0.02062,0.015863
967,0.98374,0.98335,0.981832,0.977377,1.866876,0.020624,0.015847
968,0.983741,0.983351,0.981831,0.977384,1.866837,0.020629,0.015836
969,0.983741,0.983352,0.98183,0.977395,1.866799,0.020634,0.01582
970,0.983742,0.983353,0.98183,0.977401,1.86676,0.020638,0.015809
971,0.983743,0.983354,0.981829,0.977412,1.866722,0.020643,0.015793
972,0.983744,0.983355,0.981828,0.977418,1.866683,0.020653,0.015777
973,0.983745,0.983356,0.981827,0.977424,1.866644,0.020662,0.015761
974,0.983746,0.983356,0.981826,0.977431,1.866606,0.020672,0.015745
975,0.983747,0.983357,0.981825,0.977437,1.866567,0.020681,0.01573
976,0.983748,0.983358,0.981824,0.977443,1.866529,0.020691,0.015714
977,0.983749,0.983359,0.981823,0.977454,1.86649,0.020695,0.015698
978,0.98375,0.98336,0.981822,0.977465,1.866451,0.0207,0.015682
979,0.983751,0.983361,0.981821,0.977471,1.866413,0.020709,0.015667
980,0.983752,0.983362,0.98182,0.977477,1.866374,0.020719,0.015651
981,0.983753,0.983363,0.981819,0.977483,1.866336,0.020729,0.015635
982,0.983754,0.983364,0.981818,0.977494,1.866297,0.020733,0.015619
983,0.983755,0.983365,0.981817,0.9775,1.866259,0.020743,0.015604
984,0.983756,0.983366,0.981816,0.977506,1.86622,0.020752,0.015588
985,0.983757,0.983367,0.981815,0.977512,1.866181,0.020762,0.015572
986,0.983758,0.983368,0.981814,0.977518,1.866143,0.020771,0.015557
987,0.983758,0.983369,0.981813,0.977524,1.866104,0.020781,0.015541
988,0.983759,0.98337,0.981812,0.97753,1.866066,0.02079,0.015525
989,0.98376,0.983371,0.981811,0.977536,1.866027,0.0208,0.01551
990,0.983761,0.983372,0.981811,0.977542,1.865989,0.020809,0.015494
991,0.983762,0.983373,0.98181,0.977552,1.86595,0.020814,0.015479
992,0.983763,0.983374,0.981809,0.977563,1.865911,0.020819,0.015463
993,0.983764,0.983375,0.981808,0.977574,1.865873,0.020823,0.015448
994,0.983765,0.983376,0.981807,0.977584,1.865834,0.020828,0.015432
995,0.983766,0.983377,0.981806,0.977595,1.865796,0.020833,0.015417
996,0.983767,0.983378,0.981805,0.977606,1.865757,0.020837,0.015401
997,0.983768,0.983379,0.981804,0.977612,1.865719,0.020847,0.015386
998,0.983769,0.98338,0.981803,0.977622,1.86568,0.020851,0.01537
999,0.98377,0.983381,0.981802,0.977633,1.865641,0.020856,0.015355
1000,0.983771,0.983382,0.981801,0.977644,1.865603,0.020861,0.015339
1001,0.983772,0.983383,0.9818,0.977654,1.865564,0.020865,0.015324
1002,0.983773,0.983384,0.981799,0.977665,1.865526,0.02087,0.015309
1003,0.983774,0.983385,0.981798,0.977675,1.865487,0.020875,0.015293
1004,0.983775,0.983385,0.981797,0.977691,1.865449,0.020874,0.015278
1005,0.983776,0.983386,0.981796,0.977706,1.86541,0.020874,0.015262
1006,0.983777,0.983387,0.981795,0.977721,1.865371,0.020874,0.015247
1007,0.983778,0.983388,0.981794,0.977732,1.865333,0.020879,0.015232
1008,0.983779,0.983389,0.981793,0.977742,1.865294,0.020884,0.015216
1009,0.98378,0.98339,0.981792,0.977757,1.865256,0.020883,0.015201
1010,0.983781,0.983391,0.981791,0.977768,1.865217,0.020888,0.015186
1011,0.983782,0.983392,0.98179,0.977783,1.865179,0.020888,0.015171
1012,0.983783,0.983393,0.981789,0.977798,1.86514,0.020888,0.015155
1013,0.983784,0.983395,0.981788,0.977809,1.865101,0.020892,0.01514
1014,0.983785,0.983396,0.981787,0.977819,1.865063,0.020897,0.015125
1015,0.983786,0.983397,0.981786,0.97783,1.865024,0.020902,0.01511
1016,0.983787,0.983398,0.981785,0.97784,1.864986,0.020906,0.015095
1017,0.983788,0.983399,0.981784,0.97785,1.864947,0.020911,0.015079
1018,0.983789,0.9834,0.981783,0.977861,1.864909,0.020916,0.015064
1019,0.98379,0.983401,0.981782,0.977871,1.86487,0.02092,0.015049
1020,0.983791,0.983402,0.981781,0.977881,1.864831,0.020925,0.015034
1021,0.983792,0.983403,0.98178,0.977891,1.864793,0.02093,0.015019
1022,0.983793,0.983404,0.981779,0.977902,1.864754,0.020934,0.015004
1023,0.983794,0.983405,0.981778,0.977912,1.864716,0.020939,0.014989
1024,0.983795,0.983406,0.981777,0.977922,1.864677,0.020944,0.014974
1025,0.983796,0.983407,0.981776,0.977932,1.864639,0.020948,0.014959
1026,0.983797,0.983408,0.981775,0.977943,1.8646,0.020953,0.014944
1027,0.983798,0.983409,0.981774,0.977953,1.864562,0.020958,0.014929
1028,0.983799,0.98341,0.981773,0.977963,1.864523,0.020962,0.014914
1029,0.9838,0.983411,0.981772,0.977973,1.864484,0.020967,0.014899
1030,0.983801,0.983412,0.98177,0.977988,1.864446,0.020967,0.014884
1031,0.983802,0.983413,0.981769,0.978003,1.864407,0.020967,0.014869
1032,0.983803,0.983414,0.981768,0.978018,1.864369,0.020967,0.014854
1033,0.983804,0.983415,0.981767,0.978033,1.86433,0.020966,0.014839
1034,0.983806,0.983416,0.981766,0.978043,1.864292,0.020971,0.014824
1035,0.983807,0.983417,0.981765,0.978048,1.864253,0.020981,0.014809
1036,0.983808,0.983418,0.981764,0.978058,1.864214,0.020985,0.014794
1037,0.983809,0.983419,0.981763,0.978068,1.864176,0.02099,0.014779
1038,0.98381,0.98342,0.981762,0.978078,1.864137,0.020995,0.014764
1039,0.983811,0.983421,0.981761,0.978088,1.864099,0.020999,0.01475
1040,0.983812,0.983422,0.98176,0.978098,1.86406,0.021004,0.014735
1041,0.983813,0.983423,0.981759,0.978108,1.864022,0.021009,0.01472
1042,0.983814,0.983424,0.981758,0.978118,1.863983,0.021013,0.014705
1043,0.983815,0.983425,0.981757,0.978128,1.863944,0.021018,0.01469
1044,0.983816,0.983426,0.981756,0.978138,1.863906,0.021023,0.014676
1045,0.983817,0.983427,0.981755,0.978148,1.863867,0.021027,0.014661
1046,0.983818,0.983428,0.981754,0.978158,1.863829,0.021032,0.014646
1047,0.983819,0.983429,0.981753,0.978168,1.86379,0.021037,0.014631
1048,0.98382,0.98343,0.981752,0.978177,1.863752,0.021041,0.014617
1049,0.983821,0.983431,0.981751,0.978187,1.863713,0.021046,0.014602
1050,0.983822,0.983432,0.98175,0.978197,1.863674,0.021051,0.014587
1051,0.983823,0.983433,0.981749,0.978207,1.863636,0.021055,0.014573
1052,0.983824,0.983434,0.981748,0.978217,1.863597,0.02106,0.014558
1053,0.983825,0.983436,0.981747,0.978227,1.863559,0.021065,0.014543
1054,0.983826,0.983437,0.981746,0.978236,1.86352,0.021069,0.014529
1055,0.983827,0.983438,0.981745,0.978246,1.863482,0.021074,0.014514
1056,0.983828,0.983439,0.981744,0.978256,1.863443,0.021079,0.0145
1057,0.983829,0.98344,0.981743,0.978266,1.863405,0.021083,0.014485
1058,0.98383,0.983441,0.981742,0.978275,1.863366,0.021088,0.014471
1059,0.983831,0.983442,0.981741,0.978285,1.863327,0.021093,0.014456
1060,0.983832,0.983443,0.981739,0.978299,1.863289,0.021092,0.014441
1061,0.983833,0.983444,0.981738,0.978314,1.86325,0.021092,0.014427
1062,0.983835,0.983445,0.981737,0.978328,1.863212,0.021092,0.014412
1063,0.983836,0.983446,0.981736,0.978343,1.863173,0.021092,0.014398
1064,0.983837,0.983447,0.981735,0.978357,1.863135,0.021092,0.014383
1065,0.983838,0.983448,0.981734,0.978372,1.863096,0.021092,0.014369
1066,0.983839,0.983449,0.981733,0.978386,1.863057,0.021091,0.014355
1067,0.98384,0.98345,0.981732,0.978401,1.863019,0.021091,0.01434
1068,0.983841,0.983451,0.981731,0.978415,1.86298,0.021091,0.014326
1069,0.983842,0.983452,0.98173,0.978429,1.862942,0.021091,0.014311
1070,0.983843,0.983453,0.981729,0.978444,1.862903,0.021091,0.014297
1071,0.983844,0.983454,0.981728,0.978458,1.862865,0.021091,0.014283
1072,0.983845,0.983455,0.981727,0.978473,1.862826,0.02109,0.014268
1073,0.983846,0.983456,0.981726,0.978487,1.862787,0.02109,0.014254
1074,0.983847,0.983457,0.981725,0.978501,1.862749,0.02109,0.01424
1075,0.983848,0.983458,0.981724,0.978516,1.86271,0.02109,0.014225
1076,0.983849,0.98346,0.981723,0.97853,1.862672,0.02109,0.014211
1077,0.98385,0.983461,0.981722,0.978544,1.862633,0.02109,0.014197
1078,0.983851,0.983462,0.981721,0.978558,1.862595,0.021089,0.014182
1079,0.983852,0.983463,0.98172,0.978568,1.862556,0.021094,0.014168
1080,0.983853,0.983464,0.981719,0.978577,1.862518,0.021099,0.014154
1081,0.983854,0.983465,0.981717,0.978586,1.862479,0.021099,0.014145
1082,0.983855,0.983466,0.981716,0.978601,1.86244,0.021098,0.01413
1083,0.983857,0.983467,0.981715,0.978615,1.862402,0.021098,0.014116
1084,0.983858,0.983468,0.981714,0.978629,1.862363,0.021098,0.014102
1085,0.983859,0.983469,0.981713,0.978643,1.862325,0.021098,0.014088
1086,0.98386,0.98347,0.981712,0.978657,1.862286,0.021098,0.014074
1087,0.983861,0.983471,0.981711,0.978672,1.862248,0.021098,0.01406
1088,0.983862,0.983472,0.98171,0.978686,1.862209,0.021097,0.014045
1089,0.983863,0.983473,0.981709,0.9787,1.86217,0.021097,0.014031
1090,0.983864,0.983474,0.981708,0.978714,1.862132,0.021097,0.014017
1091,0.983865,0.983475,0.981707,0.978728,1.862093,0.021097,0.014003
1092,0.983866,0.983476,0.981706,0.978742,1.862055,0.021097,0.013989
1093,0.983867,0.983477,0.981705,0.978756,1.862016,0.021097,0.013975
1094,0.983868,0.983479,0.981704,0.97877,1.861978,0.021096,0.013961
1095,0.983869,0.98348,0.981703,0.978784,1.861939,0.021096,0.013947
1096,0.98387,0.983481,0.981702,0.978798,1.861901,0.021096,0.013933
1097,0.983871,0.983482,0.981701,0.978812,1.861862,0.021096,0.013919
1098,0.983872,0.983483,0.9817,0.978826,1.861823,0.021096,0.013905
1099,0.983873,0.983484,0.981698,0.97884,1.861785,0.021096,0.013891
1100,0.983875,0.983485,0.981697,0.978854,1.861746,0.021095,0.013877
1101,0.983876,0.983486,0.981696,0.978868,1.861708,0.021095,0.013863
1102,0.983877,0.983487,0.981695,0.978882,1.861669,0.021095,0.013849
1103,0.983878,0.983488,0.981694,0.978896,1.861631,0.021095,0.013835
1104,0.983879,0.983489,0.981693,0.97891,1.861592,0.021095,0.013821
1105,0.98388,0.98349,0.981692,0.978923,1.861553,0.021095,0.013807
1106,0.983881,0.983491,0.981691,0.978937,1.861515,0.021094,0.013793
1107,0.983882,0.983492,0.98169,0.978951,1.861476,0.021094,0.01378
1108,0.983883,0.983493,0.981689,0.978965,1.861438,0.021094,0.013766
1109,0.983884,0.983494,0.981688,0.978979,1.861399,0.021094,0.013752
1110,0.983885,0.983496,0.981687,0.978993,1.861361,0.021094,0.013738
1111,0.983886,0.983497,0.981686,0.979002,1.861322,0.021098,0.013724
1112,0.983887,0.983498,0.981685,0.979011,1.861283,0.021103,0.013711
1113,0.983888,0.983499,0.981684,0.979024,1.861245,0.021103,0.013697
1114,0.983889,0.9835,0.981682,0.979038,1.861206,0.021103,0.013683
1115,0.983891,0.983501,0.981681,0.979052,1.861168,0.021102,0.013669
1116,0.983892,0.983502,0.98168,0.979066,1.861129,0.021102,0.013655
1117,0.983893,0.983503,0.981679,0.979079,1.861091,0.021102,0.013642
1118,0.983894,0.983504,0.981678,0.979088,1.861052,0.021107,0.013628
1119,0.983895,0.983505,0.981677,0.979097,1.861014,0.021111,0.013614
1120,0.983896,0.983506,0.981676,0.979111,1.860975,0.021111,0.013601
1121,0.983897,0.983507,0.981675,0.979125,1.860936,0.021111,0.013587
1122,0.983898,0.983508,0.981674,0.979138,1.860898,0.021111,0.013573
1123,0.983899,0.983509,0.981673,0.979152,1.860859,0.021111,0.01356
1124,0.9839,0.983511,0.981672,0.979166,1.860821,0.02111,0.013546
1125,0.983901,0.983512,0.981671,0.979179,1.860782,0.02111,0.013532
1126,0.983902,0.983513,0.98167,0.979193,1.860744,0.02111,0.013519
1127,0.983903,0.983514,0.981669,0.979206,1.860705,0.02111,0.013505
1128,0.983904,0.983515,0.981667,0.97922,1.860666,0.02111,0.013492
1129,0.983906,0.983516,0.981666,0.979233,1.860628,0.02111,0.013478
1130,0.983907,0.983517,0.981665,0.979247,1.860589,0.021109,0.013465
1131,0.983908,0.983518,0.981664,0.97926,1.860551,0.021109,0.013451
1132,0.983909,0.983519,0.981663,0.979274,1.860512,0.021109,0.013438
1133,0.98391,0.98352,0.981662,0.979287,1.860474,0.021109,0.013424
1134,0.983911,0.983521,0.981661,0.979301,1.860435,0.021109,0.013411
1135,0.983912,0.983522,0.98166,0.979314,1.860397,0.021109,0.013397
1136,0.983913,0.983523,0.981659,0.979328,1.860358,0.021108,0.013384
1137,0.983914,0.983525,0.981658,0.979341,1.860319,0.021108,0.01337
1138,0.983915,0.983526,0.981657,0.97935,1.860281,0.021113,0.013357
